更新时间,2026-05-12 03:03:42,#genre#

上海电信,#genre#
快乐垂钓,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.42:5140
茶频道,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.43:5140
游戏风云,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.44:5140
生活时尚,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.45:5140
动漫秀场,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.46:5140
乐游,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.47:5140
都市剧场,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.48:5140
法治天地,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.49:5140
欢笑剧场4K,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.50:5140
东方卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.51:5140
CCTV1,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.52:5140
东方都市,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.53:5140
哈哈炫动,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.54:5140
东方影视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.55:5140
新闻综合,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.57:5140
五星体育,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.58:5140
长助理,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.59:5140
东方财经,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.65:5140
金色学堂,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.66:5140
CCTV5+,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.67:5140
CCTV2,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.68:5140
CCTTV3,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.69:5140
CCTV4,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.70:5140
CCTV5,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.71:5140
CCTV6,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.72:5140
CCTV7,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.73:5140
CCTV8,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.74:5140
CCTV9,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.75:5140
CCTV10,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.76:5140
CCTV11,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.77:5140
CCTV12,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.78:5140
CCTV13,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.79:5140
CCTV14,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.80:5140
CCTV15,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.81:5140
CCTV16,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.82:5140
CCTV7,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.83:5140
浙江卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.84:5140
江苏卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.85:5140
湖南卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.86:5140
BRTV北京卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.87:5140
广东卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.88:5140
深圳卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.89:5140
黑龙江卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.90:5140
山东卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.91:5140
湖北卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.92:5140
安徽卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.93:5140
东南卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.94:5140
江西卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.95:5140
辽宁卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.96:5140
天津卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.97:5140
CETV1,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.98:5140
四川卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.99:5140
重庆卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.100:5140
贵州卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.101:5140
海南卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.102:5140
河北卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.103:5140
金鹰纪实,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.104:5140
河南卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.105:5140
云南卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.106:5140
广西卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.107:5140
吉林卫视,http://aecjwfedrohay5gq.0kkkkkt.com:4022/rtp/233.18.204.108:5140
